PlaceName,Address,Rating,PriceLevel,PhoneNumber,OpeningPeriods,StartTime,EndTime,Cost
暖暖輕食坊 Warm House Brunch,820台灣高雄市岡山區大德三路82-1號,4.4,Moderate,+886 7 622 8583,星期一: 休息;星期二: 09:00 – 20:00;星期三: 09:00 – 20:00;星期四: 09:00 – 20:00;星期五: 09:00 – 20:00;星期六: 09:00 – 20:00;星期日: 09:00 – 20:00;,00:00,00:00,$300
周Q涼麵,820台灣高雄市岡山區柳橋東路23-3號,4.2,Inexpensive,+886 7 621 8181,星期一: 休息;星期二: 06:30 – 18:00;星期三: 06:30 – 18:00;星期四: 06:30 – 18:00;星期五: 06:30 – 18:00;星期六: 06:30 – 18:00;星期日: 06:30 – 18:00;,,,
心心食堂,820台灣高雄市岡山區平和路10號,4.3,Free,+886 7 621 2435,星期一: 11:00 – 13:30/ 17:00 – 19:30;星期二: 11:00 – 13:30/ 17:00 – 19:30;星期三: 11:00 – 13:30/ 17:00 – 19:30;星期四: 11:00 – 13:30/ 17:00 – 19:30;星期五: 11:00 – 13:30/ 17:00 – 19:30;星期六: 11:00 – 13:30/ 17:00 – 19:30;星期日: 休息;,,,
岡山煎炒蛋麵,820台灣高雄市岡山區後協路55巷24之4號,4,Free,+886 7 625 4847,星期一: 09:30 – 13:30;星期二: 09:30 – 13:30;星期三: 09:30 – 13:30;星期四: 09:30 – 13:30;星期五: 09:30 – 13:30;星期六: 休息;星期日: 休息;,,,
岡山黑妞鹹酥雞,820台灣高雄市岡山區岡燕路66號,4.2,Inexpensive,+886 909 999 409,星期一: 休息;星期二: 16:00 – 23:00;星期三: 16:00 – 23:00;星期四: 16:00 – 23:00;星期五: 16:00 – 23:00;星期六: 16:00 – 23:00;星期日: 16:00 – 23:00;,,,
老夫子小館,820台灣高雄市岡山區中華路162號號,4.3,Free,+886 7 626 3798,星期一: 休息;星期二: 11:00 – 14:00/ 17:00 – 21:00;星期三: 11:00 – 14:00/ 17:00 – 21:00;星期四: 11:00 – 14:00/ 17:00 – 21:00;星期五: 11:00 – 14:00/ 17:00 – 21:00;星期六: 11:00 – 14:00/ 17:00 – 21:00;星期日: 11:00 – 14:00/ 17:00 – 21:00;,,,
岡山林家米糕城,820台灣高雄市岡山區維仁路17號,3.8,Inexpensive,+886 7 621 7398,星期一: 16:30 – 00:00;星期二: 16:30 – 00:00;星期三: 16:30 – 00:00;星期四: 16:30 – 00:00;星期五: 16:30 – 00:00;星期六: 16:30 – 00:00;星期日: 16:30 – 00:00;,,,
岡山黑妞鹹酥雞,820台灣高雄市岡山區岡燕路66號,4.2,Inexpensive,+886 909 999 409,星期一: 休息;星期二: 16:00 – 23:00;星期三: 16:00 – 23:00;星期四: 16:00 – 23:00;星期五: 16:00 – 23:00;星期六: 16:00 – 23:00;星期日: 16:00 – 23:00;,,,
燒呼呼串燒屋,820台灣高雄市岡山區平和路6號,4,Moderate,+886 7 622 5572,星期一: 休息;星期二: 17:00 – 00:00;星期三: 17:00 – 00:00;星期四: 17:00 – 00:00;星期五: 17:00 – 00:00;星期六: 17:00 – 00:00;星期日: 17:00 – 00:00;,,,
三塊厝麵館,820台灣高雄市岡山區中華路160號,3.9,Inexpensive,+886 7 625 8137,星期一: 08:00 – 21:00;星期二: 08:00 – 21:00;星期三: 08:00 – 21:00;星期四: 08:00 – 21:00;星期五: 08:00 – 21:00;星期六: 08:00 – 21:00;星期日: 休息;,,,
游李家-天然酵母披薩專賣 岡山店,820台灣高雄市岡山區大德二路213巷5號,4.6,Moderate,+886 7 623 1118,星期一: 11:00 – 14:00/ 16:30 – 20:30;星期二: 11:00 – 14:00/ 16:30 – 20:30;星期三: 休息;星期四: 休息;星期五: 11:00 – 14:00/ 16:30 – 21:00;星期六: 11:00 – 15:00/ 16:30 – 21:00;星期日: 11:00 – 15:00/ 16:30 – 21:00;,,,
山禾堂拉麵-岡山店,820台灣高雄市岡山區大仁南路60號,4.6,Moderate,+886 7 621 0988,星期一: 11:00 – 14:00/ 17:30 – 21:00;星期二: 11:00 – 14:00/ 17:30 – 21:00;星期三: 11:00 – 14:00/ 17:30 – 21:00;星期四: 11:00 – 14:00/ 17:30 – 21:00;星期五: 11:00 – 14:00/ 17:30 – 21:00;星期六: 11:00 – 14:30/ 17:30 – 21:00;星期日: 11:00 – 14:30/ 17:30 – 21:00;,,,
周Q涼麵,820台灣高雄市岡山區柳橋東路23-3號,4.2,Inexpensive,+886 7 621 8181,星期一: 休息;星期二: 06:30 – 18:00;星期三: 06:30 – 18:00;星期四: 06:30 – 18:00;星期五: 06:30 – 18:00;星期六: 06:30 – 18:00;星期日: 06:30 – 18:00;,,,
